round,preset,pass_at_1,pass_at_k,k,n_selected,n_trained
0,default,1.0000,1.0000,4,300,300
0,reward,1.0000,1.0000,4,300,300
1,default,1.0000,1.0000,4,300,300
1,reward,1.0000,1.0000,4,300,300
