round,n,boxed,dfrac,tfrac,frac,dollar,sentence,assignment,unit,decimal,decimal_trailing,int_float
0,400,100,100,0,0,0,100,0,0,0,0,100
1,400,100,100,0,0,0,100,0,0,0,0,100
