round,n,boxed,dfrac,tfrac,frac,dollar,sentence,assignment,unit,decimal,decimal_trailing,int_float
0,32,0,0,0,1,4,0,0,0,0,0,0
1,32,0,0,0,2,3,0,0,0,0,0,0
